Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
56,17703.0,5134,779.0,13,2,15.23,36,0.05,Bachelor's,Full-time,Single,No,Yes,Auto,No,0
35,147595.0,7963,608.0,29,2,12.4,48,0.05,High School,Full-time,Single,No,Yes,Auto,No,0
21,79933.0,209007,554.0,20,1,9.68,48,0.25,High School,Full-time,Married,Yes,Yes,Education,Yes,1
42,21871.0,13098,556.0,25,2,6.92,24,0.05,Master's,Full-time,Single,Yes,No,Business,No,1
31,97240.0,7724,677.0,13,2,14.16,36,0.05,Bachelor's,Full-time,Single,No,No,Education,No,0
67,29578.0,27232,697.0,8,1,13.18,48,0.12,High School,Part-time,Divorced,Yes,Yes,Other,Yes,1
26,31568.0,58230,602.0,1,1,23.81,36,0.44,High School,Part-time,Single,Yes,Yes,Home,Yes,1
43,97902.0,182924,763.0,5,2,12.2,36,0.23,High School,Full-time,Married,No,Yes,Home,No,1
19,41434.0,77215,667.0,5,2,21.46,36,0.4,High School,Self-employed,Single,No,Yes,Education,No,1
37,20187.0,24407,730.0,81,3,22.77,24,0.28,Bachelor's,Full-time,Married,No,No,Auto,Yes,1
45,31118.0,172869,602.0,83,1,9.22,36,0.51,Bachelor's,Self-employed,Married,Yes,Yes,Home,No,1
64,59816.0,7202,644.0,8,3,8.58,36,0.05,Bachelor's,Self-employed,Married,No,Yes,Auto,Yes,0
24,21698.0,236948,509.0,3,3,22.73,36,0.95,High School,Unemployed,Single,No,No,Home,No,1
61,46225.0,8625,636.0,9,1,14.71,36,0.05,Bachelor's,Full-time,Single,Yes,No,Auto,Yes,1
25,56591.0,89108,679.0,47,4,6.22,60,0.1,High School,Full-time,Married,No,No,Home,No,1
64,29747.0,7781,612.0,61,2,7.62,12,0.05,PhD,Self-employed,Single,No,No,Auto,No,0
52,56432.0,165909,654.0,20,2,2.45,48,0.07,Master's,Self-employed,Married,Yes,No,Business,No,1
31,90458.0,11902,680.0,23,2,9.08,48,0.05,Master's,Part-time,Married,No,No,Auto,No,0
34,37360.0,8107,614.0,18,3,15.66,36,0.05,Bachelor's,Full-time,Married,No,No,Auto,No,1
53,31895.0,137037,637.0,6,2,8.86,24,0.38,High School,Full-time,Single,No,Yes,Auto,Yes,1
67,25122.0,11041,597.0,1,3,7.03,36,0.05,High School,Unemployed,Single,Yes,Yes,Auto,No,1
57,47440.0,100948,579.0,29,2,3.29,36,0.07,Bachelor's,Part-time,Married,No,Yes,Education,No,1
21,89166.0,87470,764.0,48,2,20.63,48,0.2,Bachelor's,Full-time,Married,No,Yes,Other,No,1
19,28738.0,59809,538.0,41,1,16.24,36,0.34,Bachelor's,Unemployed,Married,No,Yes,Auto,No,1
23,32659.0,33485,732.0,69,2,21.99,36,0.23,High School,Self-employed,Married,Yes,Yes,Education,No,1
59,33267.0,153317,544.0,50,2,2.48,36,0.11,High School,Full-time,Married,No,Yes,Other,No,1
21,43798.0,127914,788.0,10,1,22.28,24,0.65,Bachelor's,Full-time,Single,No,Yes,Business,No,1
46,24075.0,38333,708.0,3,2,13.51,36,0.22,Bachelor's,Part-time,Married,No,Yes,Education,No,1
35,75450.0,20816,628.0,16,2,4.98,60,0.05,Bachelor's,Full-time,Married,No,No,Education,No,0
43,27264.0,24094,740.0,12,1,7.54,24,0.07,High School,Self-employed,Single,No,Yes,Other,Yes,0
61,57770.0,19932,752.0,39,4,5.19,12,0.05,Bachelor's,Self-employed,Married,No,No,Business,No,0
51,40197.0,51755,709.0,2,1,6.98,60,0.09,Bachelor's,Part-time,Married,Yes,Yes,Business,No,1
27,45857.0,126742,700.0,85,1,7.78,36,0.22,Master's,Full-time,Married,No,No,Business,Yes,1
53,21929.0,94130,679.0,94,3,14.83,36,0.64,High School,Full-time,Single,Yes,No,Auto,No,1
31,61483.0,100234,780.0,2,3,7.75,36,0.13,Bachelor's,Full-time,Divorced,Yes,No,Education,No,1
48,22315.0,40683,657.0,17,2,12.81,48,0.23,PhD,Self-employed,Married,No,Yes,Education,No,1
65,19215.0,28355,670.0,68,4,16.13,36,0.24,Bachelor's,Full-time,Single,No,No,Auto,No,1
32,42690.0,89969,733.0,6,4,19.13,36,0.4,Bachelor's,Full-time,Married,No,No,Home,Yes,1
25,58240.0,99588,632.0,35,1,21.42,48,0.37,Master's,Part-time,Single,Yes,No,Business,Yes,1
31,16796.0,76316,753.0,37,2,5.5,24,0.25,High School,Full-time,Single,No,No,Business,No,1
40,17517.0,6958,735.0,7,1,16.17,48,0.06,Bachelor's,Part-time,Single,No,No,Other,No,1
57,71802.0,58449,850.0,0,2,4.49,36,0.05,Bachelor's,Self-employed,Married,No,Yes,Business,No,0
38,72947.0,30574,649.0,32,1,7.16,36,0.05,Bachelor's,Unemployed,Single,Yes,No,Education,No,1
33,24850.0,18103,710.0,28,1,14.54,36,0.11,High School,Self-employed,Divorced,Yes,No,Auto,No,1
62,48428.0,76127,699.0,31,3,22.84,36,0.36,High School,Full-time,Single,No,No,Auto,No,1
35,35492.0,23761,728.0,5,3,15.39,36,0.1,Bachelor's,Full-time,Divorced,No,No,Other,Yes,1
64,50054.0,151401,653.0,27,3,21.27,24,0.64,High School,Full-time,Married,Yes,Yes,Auto,No,1
41,84541.0,26236,699.0,23,1,16.78,48,0.05,High School,Unemployed,Single,No,No,Home,No,1
43,17912.0,53605,672.0,18,2,18.48,48,0.55,Bachelor's,Full-time,Single,No,No,Education,No,1
42,67675.0,110532,733.0,45,3,6.87,60,0.11,High School,Full-time,Married,Yes,Yes,Education,Yes,1
62,38775.0,35861,496.0,14,2,12.7,12,0.12,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,1
58,44064.0,110845,639.0,13,2,19.7,48,0.5,High School,Unemployed,Single,Yes,No,Business,No,1
46,52139.0,82175,840.0,23,1,16.53,24,0.26,High School,Unemployed,Divorced,No,Yes,Education,Yes,1
32,104567.0,157196,790.0,86,3,2.69,24,0.05,Bachelor's,Full-time,Single,No,Yes,Business,Yes,0
62,17043.0,28656,685.0,12,3,16.7,12,0.28,High School,Full-time,Married,No,No,Business,Yes,1
18,16047.0,11657,710.0,17,2,6.23,12,0.05,Bachelor's,Full-time,Married,Yes,No,Home,No,0
42,21871.0,38763,704.0,9,2,22.48,60,0.4,High School,Full-time,Single,Yes,No,Home,Yes,1
24,160000.0,97454,713.0,34,2,22.44,36,0.14,High School,Self-employed,Married,No,No,Auto,Yes,1
26,58943.0,40917,585.0,13,3,20.59,36,0.14,High School,Full-time,Married,No,Yes,Home,No,1
41,48375.0,23227,603.0,35,4,6.3,48,0.05,Master's,Full-time,Single,No,Yes,Business,Yes,1
18,16686.0,6679,604.0,4,2,4.51,48,0.05,High School,Part-time,Married,Yes,Yes,Home,Yes,1
61,88950.0,27527,622.0,9,2,21.6,12,0.07,PhD,Part-time,Divorced,Yes,No,Education,No,1
25,73637.0,79976,793.0,6,1,12.62,48,0.14,High School,Part-time,Divorced,Yes,Yes,Home,No,1
41,53255.0,14582,560.0,45,1,21.3,36,0.06,High School,Part-time,Divorced,Yes,Yes,Auto,No,1
28,29496.0,30010,826.0,2,1,20.83,36,0.21,Master's,Self-employed,Single,No,No,Home,No,1
68,17558.0,6226,694.0,8,3,20.91,48,0.07,Bachelor's,Full-time,Divorced,Yes,Yes,Education,No,1
34,45365.0,81755,560.0,21,2,7.09,36,0.13,Master's,Full-time,Divorced,No,Yes,Other,No,1
25,59515.0,132558,611.0,2,1,16.5,60,0.37,Bachelor's,Part-time,Single,Yes,No,Auto,No,1
52,18464.0,55433,697.0,0,2,22.66,48,0.68,High School,Full-time,Single,No,No,Auto,No,1
52,50157.0,6572,550.0,35,2,9.37,24,0.05,High School,Unemployed,Single,Yes,Yes,Home,No,1
50,26808.0,19725,630.0,28,4,16.51,36,0.12,Bachelor's,Unemployed,Married,No,Yes,Auto,No,1
22,65573.0,39625,563.0,0,2,10.06,48,0.06,Bachelor's,Self-employed,Divorced,Yes,No,Home,No,1
59,42149.0,58142,714.0,1,1,7.81,36,0.11,Bachelor's,Part-time,Single,Yes,No,Auto,Yes,1
56,19835.0,46143,564.0,7,2,19.92,24,0.46,High School,Full-time,Divorced,No,No,Education,No,1
58,41167.0,153520,531.0,70,3,6.16,36,0.23,Master's,Full-time,Divorced,No,No,Other,Yes,1
45,32631.0,172456,784.0,31,2,4.39,24,0.23,Bachelor's,Part-time,Married,No,Yes,Auto,No,1
24,21960.0,11800,634.0,49,3,8.04,24,0.05,High School,Full-time,Married,No,No,Business,No,1
26,79473.0,13937,626.0,42,2,11.84,48,0.05,Master's,Part-time,Married,No,No,Education,No,1
25,15388.0,31595,700.0,120,2,19.6,36,0.4,High School,Unemployed,Married,Yes,No,Education,No,1
29,28095.0,37811,657.0,89,3,7.13,36,0.1,Master's,Full-time,Married,Yes,Yes,Home,No,0
51,15443.0,57923,590.0,2,1,21.96,36,0.82,High School,Full-time,Married,No,Yes,Education,Yes,1
50,18532.0,94010,608.0,0,2,14.1,36,0.72,PhD,Self-employed,Single,No,No,Auto,No,1
65,27338.0,13754,721.0,20,2,17.69,36,0.09,Bachelor's,Full-time,Single,No,No,Auto,No,1
40,16952.0,102363,578.0,9,2,7.53,48,0.45,High School,Full-time,Single,No,No,Other,No,1
41,46776.0,61500,656.0,21,3,20.55,36,0.27,High School,Full-time,Divorced,Yes,No,Business,Yes,1
54,18180.0,242435,801.0,2,1,2.69,48,0.36,Bachelor's,Full-time,Married,No,No,Education,No,1
52,57339.0,68189,634.0,71,3,6.65,36,0.08,Bachelor's,Self-employed,Married,Yes,Yes,Business,No,1
61,16892.0,80546,764.0,44,2,19.16,36,0.91,Bachelor's,Self-employed,Single,Yes,No,Business,No,1
57,17139.0,18030,574.0,24,1,3.43,60,0.05,Bachelor's,Self-employed,Married,Yes,No,Education,Yes,1
39,27750.0,92884,675.0,18,1,15.05,36,0.5,Bachelor's,Full-time,Single,Yes,No,Education,Yes,1
44,94410.0,9955,765.0,18,4,17.91,60,0.05,Bachelor's,Self-employed,Single,Yes,Yes,Other,Yes,0
52,50893.0,69119,611.0,28,2,14.6,48,0.2,Master's,Self-employed,Divorced,Yes,No,Business,No,1
18,66458.0,8430,822.0,23,2,4.23,36,0.05,PhD,Unemployed,Married,No,Yes,Education,No,0
52,20342.0,12345,655.0,19,1,15.16,12,0.09,Master's,Full-time,Single,Yes,No,Home,No,1
54,77878.0,11848,561.0,34,1,15.45,24,0.05,High School,Self-employed,Married,No,Yes,Other,No,1
64,15286.0,8234,745.0,43,2,12.67,36,0.07,High School,Part-time,Married,No,No,Home,Yes,0
31,23385.0,28240,794.0,30,3,10.02,48,0.12,High School,Full-time,Single,No,Yes,Education,No,1
20,48507.0,315592,554.0,14,1,7.36,24,0.48,Bachelor's,Full-time,Married,No,No,Auto,Yes,1
18,31463.0,30683,697.0,16,2,3.69,60,0.05,Bachelor's,Part-time,Single,No,No,Other,No,1
22,160000.0,90821,602.0,3,3,2.77,60,0.05,Bachelor's,Full-time,Married,Yes,No,Other,Yes,1
43,16078.0,13515,573.0,16,2,19.41,36,0.16,Bachelor's,Part-time,Single,No,Yes,Education,No,1
31,160000.0,41362,585.0,46,1,13.56,24,0.05,Bachelor's,Unemployed,Single,No,Yes,Auto,No,1
56,49201.0,17282,677.0,2,2,5.25,48,0.05,High School,Full-time,Divorced,Yes,Yes,Auto,No,0
44,43631.0,17798,769.0,5,1,4.08,36,0.05,Bachelor's,Part-time,Single,Yes,No,Auto,Yes,0
26,17147.0,11300,654.0,55,1,4.0,36,0.05,High School,Full-time,Married,No,Yes,Education,No,0
32,26174.0,38942,695.0,25,4,5.17,24,0.08,High School,Full-time,Single,Yes,No,Business,Yes,1
32,105502.0,9712,612.0,33,2,2.63,60,0.05,Bachelor's,Part-time,Single,Yes,No,Business,No,0
43,30306.0,149351,649.0,11,2,18.83,48,0.93,Bachelor's,Full-time,Single,No,No,Auto,No,1
59,52928.0,40641,586.0,20,3,10.07,24,0.08,High School,Full-time,Married,No,Yes,Education,No,1
30,160000.0,114419,506.0,43,2,8.33,12,0.06,High School,Full-time,Married,Yes,Yes,Other,No,1
68,25684.0,238135,616.0,62,2,12.14,36,0.95,Master's,Full-time,Married,Yes,No,Business,No,1
49,45037.0,72951,755.0,109,1,8.84,24,0.14,Bachelor's,Self-employed,Married,No,Yes,Education,No,0
56,56725.0,144068,447.0,57,2,17.34,36,0.44,High School,Unemployed,Married,Yes,Yes,Business,No,1
66,21295.0,13727,753.0,2,2,8.55,48,0.06,High School,Full-time,Married,No,No,Auto,No,1
69,20633.0,111315,687.0,12,3,15.66,36,0.84,High School,Unemployed,Married,Yes,No,Education,Yes,1
49,36328.0,23982,648.0,41,2,10.23,36,0.07,High School,Unemployed,Divorced,No,Yes,Auto,No,1
21,32060.0,43387,615.0,16,1,11.0,36,0.15,Master's,Self-employed,Divorced,No,Yes,Education,Yes,1
47,58838.0,67406,700.0,17,2,19.23,36,0.22,Master's,Full-time,Single,Yes,No,Business,Yes,1
54,17521.0,145319,778.0,47,4,13.41,60,0.95,PhD,Full-time,Married,Yes,No,Business,No,1
40,140353.0,150142,681.0,53,1,10.92,36,0.12,High School,Part-time,Married,No,No,Home,No,1
56,15503.0,10797,642.0,47,1,9.22,12,0.06,Bachelor's,Part-time,Married,Yes,No,Auto,Yes,1
62,47185.0,32205,850.0,13,1,16.42,48,0.11,Bachelor's,Unemployed,Single,No,Yes,Home,No,1
32,43944.0,99552,667.0,7,3,15.79,60,0.36,High School,Unemployed,Married,No,Yes,Education,No,1
60,20064.0,77873,520.0,13,1,3.83,36,0.15,Bachelor's,Part-time,Divorced,No,No,Other,No,1
46,20725.0,6602,687.0,36,1,16.84,12,0.05,High School,Part-time,Married,No,Yes,Other,No,1
53,70071.0,40858,609.0,13,4,11.95,12,0.07,High School,Self-employed,Married,No,Yes,Auto,Yes,1
30,91487.0,111054,629.0,1,3,23.43,36,0.28,Master's,Full-time,Divorced,No,Yes,Other,No,1
49,26644.0,85292,768.0,48,1,12.31,24,0.39,High School,Full-time,Married,No,Yes,Education,No,1
24,35166.0,36846,734.0,1,1,22.75,24,0.24,Bachelor's,Full-time,Single,Yes,No,Education,Yes,1
68,30347.0,84718,510.0,120,2,19.69,48,0.55,High School,Full-time,Single,No,Yes,Education,No,1
39,17635.0,53072,513.0,59,1,23.29,24,0.7,Bachelor's,Full-time,Married,Yes,No,Education,No,1
45,54144.0,151255,671.0,93,2,6.53,36,0.18,Bachelor's,Full-time,Single,Yes,No,Other,No,1
19,76042.0,58076,742.0,53,2,9.31,36,0.07,Bachelor's,Self-employed,Divorced,No,No,Auto,No,0
59,27728.0,35723,469.0,3,2,14.94,36,0.19,Bachelor's,Full-time,Married,Yes,Yes,Business,No,1
62,160000.0,124231,743.0,16,2,4.14,36,0.05,High School,Full-time,Single,No,No,Home,No,1
23,17760.0,8069,850.0,71,2,17.65,36,0.08,Bachelor's,Self-employed,Divorced,No,No,Home,No,0
45,52943.0,143462,760.0,2,1,7.92,36,0.21,High School,Full-time,Divorced,Yes,No,Education,No,1
45,35811.0,76512,592.0,10,1,5.29,24,0.11,High School,Full-time,Single,No,No,Education,Yes,1
61,35708.0,174413,714.0,18,2,3.3,24,0.16,High School,Full-time,Single,Yes,Yes,Auto,No,1
61,36414.0,22301,679.0,17,2,11.13,24,0.07,High School,Unemployed,Single,Yes,Yes,Home,No,1
37,25476.0,76231,811.0,86,3,4.8,24,0.14,High School,Full-time,Single,No,No,Education,No,1
47,59003.0,104474,756.0,15,3,12.98,48,0.23,High School,Part-time,Married,No,Yes,Education,No,1
28,59751.0,77660,583.0,8,4,11.0,60,0.14,Bachelor's,Self-employed,Single,No,No,Education,No,1
45,26614.0,19168,709.0,17,1,21.16,48,0.15,Bachelor's,Full-time,Single,Yes,No,Auto,No,1
42,78128.0,24343,590.0,15,1,3.6,12,0.05,High School,Full-time,Single,Yes,No,Business,No,0
56,28336.0,55185,748.0,29,4,20.91,36,0.41,Bachelor's,Full-time,Married,No,Yes,Home,No,1
50,60196.0,40516,638.0,120,2,17.73,48,0.12,Bachelor's,Full-time,Married,No,Yes,Business,No,0
18,19513.0,84708,656.0,24,3,16.21,36,0.7,Bachelor's,Self-employed,Married,Yes,No,Home,No,1
44,21466.0,33554,674.0,18,1,23.46,12,0.37,PhD,Part-time,Divorced,Yes,Yes,Auto,No,1
69,28282.0,122744,613.0,27,2,3.08,36,0.13,Bachelor's,Full-time,Single,Yes,Yes,Education,No,1
30,46538.0,38929,669.0,117,1,12.79,36,0.11,Bachelor's,Self-employed,Married,No,No,Education,Yes,0
58,51297.0,7451,699.0,29,4,18.04,36,0.05,High School,Full-time,Single,No,No,Other,Yes,0
20,32666.0,6050,636.0,3,1,13.76,48,0.05,Bachelor's,Full-time,Married,No,Yes,Business,No,1
56,17836.0,67433,678.0,73,1,9.05,24,0.34,Bachelor's,Full-time,Single,No,No,Other,No,1
23,31373.0,51663,596.0,26,2,2.58,36,0.05,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,1
25,55852.0,51950,555.0,5,3,16.35,36,0.15,Master's,Self-employed,Divorced,No,No,Auto,No,1
44,53908.0,98641,657.0,7,3,21.04,48,0.38,High School,Full-time,Married,Yes,No,Business,No,1
26,21110.0,33269,746.0,3,2,17.8,36,0.28,Master's,Full-time,Single,Yes,Yes,Education,Yes,1
54,15273.0,328518,743.0,97,3,3.12,48,0.67,Bachelor's,Self-employed,Single,Yes,No,Education,No,1
50,63940.0,179606,738.0,2,1,17.42,36,0.49,High School,Full-time,Single,No,No,Education,No,1
68,18936.0,5782,745.0,43,2,18.23,24,0.06,High School,Self-employed,Single,Yes,No,Other,No,0
59,18007.0,140653,675.0,12,2,16.59,60,0.95,High School,Self-employed,Married,Yes,Yes,Other,No,1
61,15094.0,73469,613.0,2,2,14.96,24,0.73,Bachelor's,Unemployed,Married,Yes,Yes,Business,No,1
41,34834.0,46840,637.0,17,1,17.43,36,0.23,High School,Unemployed,Single,Yes,No,Education,No,1
32,39489.0,57443,649.0,0,3,14.68,48,0.21,High School,Full-time,Single,Yes,No,Business,No,1
49,50531.0,115655,604.0,50,4,12.54,36,0.29,Master's,Full-time,Single,No,Yes,Auto,No,1
49,27287.0,186001,710.0,23,1,13.8,36,0.94,High School,Full-time,Divorced,Yes,No,Education,No,1
41,58376.0,54304,607.0,18,4,3.59,36,0.05,Bachelor's,Full-time,Married,Yes,No,Business,Yes,1
58,21493.0,17001,502.0,53,4,13.56,36,0.11,Bachelor's,Part-time,Divorced,No,No,Auto,No,1
69,77430.0,66258,749.0,21,2,17.48,36,0.15,Master's,Unemployed,Married,No,No,Auto,Yes,1
66,44689.0,9756,703.0,27,2,12.86,60,0.05,Bachelor's,Part-time,Married,Yes,No,Business,No,0
66,45688.0,65494,513.0,50,3,14.25,24,0.2,PhD,Full-time,Married,Yes,No,Auto,No,1
69,23240.0,104207,604.0,38,2,18.81,48,0.84,Bachelor's,Self-employed,Married,No,Yes,Home,Yes,1
29,17694.0,31155,651.0,32,3,5.11,36,0.09,Bachelor's,Full-time,Single,No,Yes,Business,Yes,1
56,36874.0,9430,659.0,36,1,18.5,12,0.05,Master's,Self-employed,Single,No,Yes,Business,No,0
19,48463.0,75703,838.0,9,2,10.22,60,0.16,Bachelor's,Full-time,Married,No,No,Auto,No,1
20,18495.0,29869,578.0,3,2,19.28,48,0.31,Bachelor's,Full-time,Divorced,No,No,Education,No,1
66,120226.0,22188,573.0,29,1,6.83,12,0.05,High School,Part-time,Single,No,Yes,Business,Yes,1
54,152653.0,75112,768.0,7,1,19.47,36,0.1,High School,Self-employed,Married,Yes,Yes,Home,Yes,1
66,42596.0,214572,644.0,1,3,19.41,48,0.95,High School,Self-employed,Divorced,Yes,Yes,Other,No,1
34,119899.0,87065,759.0,8,1,9.07,36,0.07,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,No,1
66,21922.0,45559,637.0,38,1,19.51,60,0.41,Master's,Full-time,Single,Yes,Yes,Business,No,1
19,15901.0,60054,763.0,36,2,4.73,36,0.18,High School,Full-time,Single,No,No,Home,Yes,1
19,16407.0,14208,636.0,70,1,19.81,48,0.17,High School,Full-time,Married,Yes,Yes,Home,Yes,1
45,45994.0,105667,649.0,33,1,5.22,36,0.12,Bachelor's,Self-employed,Single,No,Yes,Business,No,1
40,17226.0,60625,571.0,17,3,23.68,12,0.83,High School,Part-time,Single,No,No,Auto,Yes,1
54,126410.0,207585,806.0,9,2,14.92,24,0.25,Bachelor's,Self-employed,Single,No,No,Education,Yes,1
49,20357.0,238191,595.0,42,2,19.2,24,0.95,Master's,Full-time,Married,No,Yes,Business,Yes,1
50,27720.0,31271,551.0,15,2,14.4,48,0.16,Bachelor's,Self-employed,Married,Yes,Yes,Education,No,1
18,75510.0,273164,797.0,50,1,14.73,60,0.53,Bachelor's,Full-time,Married,No,Yes,Business,Yes,1
36,23639.0,193561,716.0,57,4,12.62,24,0.95,Bachelor's,Self-employed,Married,No,Yes,Auto,Yes,1
19,24742.0,66271,794.0,12,3,5.04,36,0.13,Bachelor's,Part-time,Single,Yes,No,Education,Yes,1
61,50982.0,29339,599.0,12,2,7.98,48,0.05,Bachelor's,Full-time,Single,No,Yes,Home,Yes,1
43,26307.0,88984,711.0,73,1,22.59,36,0.76,High School,Full-time,Single,Yes,Yes,Home,Yes,1
49,23581.0,23984,779.0,15,2,10.2,48,0.1,Master's,Full-time,Single,No,Yes,Auto,No,1
23,25264.0,64629,562.0,36,2,3.24,36,0.08,Master's,Part-time,Married,Yes,No,Education,No,1
49,38611.0,6493,687.0,14,2,19.54,36,0.05,High School,Full-time,Single,No,Yes,Home,No,1
21,133451.0,64425,621.0,39,2,17.69,48,0.09,Master's,Unemployed,Married,No,Yes,Auto,No,1
28,77482.0,186705,626.0,5,2,8.77,36,0.21,Bachelor's,Part-time,Married,No,Yes,Business,No,1
34,26722.0,21083,590.0,54,3,10.17,36,0.08,High School,Self-employed,Divorced,No,No,Education,No,1
55,30805.0,95353,696.0,120,1,12.81,36,0.4,Bachelor's,Full-time,Married,Yes,No,Auto,No,1
41,36860.0,25839,639.0,43,2,5.14,36,0.05,Master's,Part-time,Married,No,Yes,Business,No,1
22,150096.0,78829,581.0,13,2,23.83,48,0.13,Bachelor's,Full-time,Divorced,Yes,No,Auto,No,1
69,21622.0,77232,780.0,24,2,10.32,36,0.37,Bachelor's,Full-time,Married,Yes,No,Auto,Yes,1
